Timestamp,Channel_1,Channel_2,Channel_3,Channel_4,Channel_5
2024-02-27 15:16:26,128,133,126,118,122
2024-02-27 15:16:26,116,138,128,115,126
2024-02-27 15:16:26,146,114,140,108,122
2024-02-27 15:16:26,122,139,125,136,96
2024-02-27 15:16:26,142,154,137,137,157
2024-02-27 15:16:26,115,106,98,106,128
2024-02-27 15:16:26,103,123,163,80,127
2024-02-27 15:16:26,76,92,76,127,110
2024-02-27 15:16:26,103,125,122,166,105
2024-02-27 15:16:26,100,131,70,155,88
2024-02-27 15:16:26,71,121,127,127,80
2024-02-27 15:16:26,161,161,125,125,85
2024-02-27 15:16:27,122,97,121,125,89
2024-02-27 15:16:27,83,97,87,95,95
2024-02-27 15:16:27,93,167,107,50,51
2024-02-27 15:16:27,121,105,91,150,150
2024-02-27 15:16:27,75,155,117,128,75
2024-02-27 15:16:27,56,133,129,98,106
2024-02-27 15:16:27,127,102,155,119,71
2024-02-27 15:16:27,151,102,90,95,95
2024-02-27 15:16:27,87,44,99,84,48
2024-02-27 15:16:27,94,96,146,46,68
2024-02-27 15:16:27,84,76,85,131,127
2024-02-27 15:16:27,122,68,84,77,74
2024-02-27 15:16:27,67,127,85,76,127
2024-02-27 15:16:27,76,101,44,114,78
2024-02-27 15:16:27,110,72,123,76,125
2024-02-27 15:16:27,119,120,74,133,70
2024-02-27 15:16:27,134,36,69,84,85
2024-02-27 15:16:27,70,122,107,78,122
2024-02-27 15:16:27,90,88,42,65,107
2024-02-27 15:16:27,105,103,73,94,55
2024-02-27 15:16:27,46,54,127,98,60
2024-02-27 15:16:27,98,127,61,134,119
2024-02-27 15:16:27,120,88,87,105,51
2024-02-27 15:16:27,97,57,90,85,127
2024-02-27 15:16:27,102,84,59,59,103
2024-02-27 15:16:27,49,67,51,121,62
2024-02-27 15:16:27,87,86,72,52,86
2024-02-27 15:16:27,90,71,97,86,107
2024-02-27 15:16:27,88,102,108,60,90
2024-02-27 15:16:27,94,97,97,102,97
2024-02-27 15:16:27,103,100,91,96,100
2024-02-27 15:16:27,96,114,104,90,108
2024-02-27 15:16:27,89,103,100,110,120
2024-02-27 15:16:27,99,125,110,96,103
2024-02-27 15:16:27,99,111,113,113,113
2024-02-27 15:16:27,114,122,121,126,107
2024-02-27 15:16:27,123,118,123,117,126
2024-02-27 15:16:27,125,124,125,125,125
2024-02-27 15:16:27,129,130,131,129,129
2024-02-27 15:16:27,129,135,132,131,130
2024-02-27 15:16:27,127,132,130,130,128
2024-02-27 15:16:27,136,129,149,144,143
2024-02-27 15:16:27,129,156,150,149,150
2024-02-27 15:16:27,158,149,146,149,147
2024-02-27 15:16:27,147,178,159,149,171
2024-02-27 15:16:27,151,142,154,150,169
2024-02-27 15:16:27,148,160,161,152,156
2024-02-27 15:16:27,133,160,155,158,153
2024-02-27 15:16:27,147,186,183,178,178
